REGION,TECHNOLOGY,YEAR,VALUE
"RE1","PWRCOA_A",2016,6.68355167036824
"RE1","PWRCOA_A",2017,9.32640969735367
"RE1","PWRCOA_A",2018,10.9465930889229
"RE1","PWRCOA_A",2019,10.9465930889229
"RE1","PWRCOA_A",2020,10.9465930889229
"RE1","PWRCOA_A",2021,10.9465930889229
"RE1","PWRCOA_A",2022,10.9465930889229
"RE1","PWRCOA_A",2023,10.9465930889229
"RE1","PWRCOA_A",2024,10.9465930889229
"RE1","PWRCOA_A",2025,10.9465930889229
"RE1","PWRCOA_A",2026,10.9465930889229
"RE1","PWRCOA_A",2027,10.9465930889229
"RE1","PWRCOA_A",2028,10.9465930889229
"RE1","PWRCOA_A",2029,10.9465930889229
"RE1","PWRCOA_A",2030,10.9465930889229
"RE1","PWRCOA_A",2031,10.9465930889229
"RE1","PWRCOA_A",2032,10.9465930889229
"RE1","PWRCOA_A",2033,10.9465930889229
"RE1","PWRCOA_A",2034,10.9465930889229
"RE1","PWRCOA_A",2035,10.9465930889229
"RE1","PWRCOA_A",2036,10.9465930889229
"RE1","PWRCOA_A",2037,10.9465930889229
"RE1","PWRCOA_A",2038,10.9465930889229
"RE1","PWRCOA_A",2039,10.9465930889229
"RE1","PWRCOA_A",2040,10.9465930889229
"RE1","PWRCOA_A",2041,10.9465930889229
"RE1","PWRCOA_A",2042,30.0234510811552
"RE1","PWRCOA_A",2043,30.0234510811552
"RE1","PWRCOA_A",2044,30.0234510811552
"RE1","PWRCOA_A",2045,30.0234510811552
"RE1","PWRCOA_A",2046,30.0234510811552
"RE1","PWRCOA_A",2047,30.0234510811552
"RE1","PWRCOA_A",2048,30.0234510811552
"RE1","PWRCOA_A",2049,30.0234510811552
"RE1","PWRCOA_A",2050,30.0234510811552
"RE1","PWRCOA_A",2051,23.3398994107869
"RE1","PWRCOA_A",2052,20.6970413838015
"RE1","PWRCOA_A",2053,19.0768579922322
"RE1","PWRCOA_A",2054,19.0768579922322
"RE1","PWRCOA_A",2055,19.0768579922322
"RE1","PWRCOA_A",2056,19.0768579922322
"RE1","PWRCOA_A",2057,19.0768579922322
"RE1","PWRCOA_A",2058,19.0768579922322
"RE1","PWRCOA_A",2059,19.0768579922322
"RE1","PWRCOA_A",2060,19.0768579922322
"RE1","PWRCOA_A",2061,19.0768579922322
"RE1","PWRCOA_A",2062,19.0768579922322
"RE1","PWRCOA_A",2063,19.0768579922322
"RE1","PWRCOA_A",2064,19.0768579922322
"RE1","PWRCOA_A",2065,19.0768579922322
"RE1","PWRCOA_A",2066,19.0768579922322
"RE1","PWRCOA_A",2067,19.0768579922322
"RE1","PWRCOA_A",2068,19.0768579922322
"RE1","PWRCOA_A",2069,19.0768579922322
"RE1","PWRCOA_A",2070,19.0768579922322
"RE1","PWROHC_A",2015,10.0625
"RE1","PWROHC_A",2016,10.0625
"RE1","PWROHC_A",2017,10.0625
"RE1","PWROHC_A",2018,10.0625
"RE1","PWROHC_A",2019,10.0625
"RE1","PWROHC_A",2020,10.0625
"RE1","PWRNGS001_A",2015,1.69905507863611
"RE1","PWRNGS001_A",2016,1.69905507863611
"RE1","PWRNGS001_A",2017,1.69905507863611
"RE1","PWRNGS001_A",2018,1.69905507863611
"RE1","PWRNGS001_A",2019,1.69905507863611
"RE1","PWRNGS001_A",2020,1.69905507863611
"RE1","PWRNGS001_A",2021,7.01627571366558
"RE1","PWRNGS001_A",2022,7.01627571366558
"RE1","PWRNGS001_A",2023,7.01627571366558
"RE1","PWRNGS001_A",2024,7.01627571366558
"RE1","PWRNGS001_A",2025,7.01627571366558
"RE1","PWRNGS001_A",2026,7.01627571366558
"RE1","PWRNGS001_A",2027,7.01627571366558
"RE1","PWRNGS001_A",2028,7.01627571366558
"RE1","PWRNGS001_A",2029,7.01627571366558
"RE1","PWRNGS001_A",2030,7.01627571366558
"RE1","PWRNGS001_A",2031,7.01627571366558
"RE1","PWRNGS001_A",2032,7.01627571366558
"RE1","PWRNGS001_A",2033,7.01627571366558
"RE1","PWRNGS001_A",2034,7.01627571366558
"RE1","PWRNGS001_A",2035,7.01627571366558
"RE1","PWRNGS001_A",2036,7.01627571366558
"RE1","PWRNGS001_A",2037,7.01627571366558
"RE1","PWRNGS001_A",2038,7.01627571366558
"RE1","PWRNGS001_A",2039,7.01627571366558
"RE1","PWRNGS001_A",2040,7.01627571366558
"RE1","PWRNGS001_A",2041,7.01627571366558
"RE1","PWRNGS001_A",2042,7.01627571366558
"RE1","PWRNGS001_A",2043,21.1730768675229
"RE1","PWRNGS001_A",2044,39.2556948892603
"RE1","PWRNGS001_A",2045,57.8303363415166
"RE1","PWRNGS001_A",2046,81.6369505682837
"RE1","PWRNGS001_A",2047,101.838168456625
"RE1","PWRNGS001_A",2048,121.67255150662
"RE1","PWRNGS001_A",2049,132.349114289398
"RE1","PWRNGS001_A",2050,132.349114289398
"RE1","PWRNGS001_A",2051,127.031893654368
"RE1","PWRNGS001_A",2052,127.031893654368
"RE1","PWRNGS001_A",2053,127.031893654368
"RE1","PWRNGS001_A",2054,127.031893654368
"RE1","PWRNGS001_A",2055,127.031893654368
"RE1","PWRNGS001_A",2056,127.031893654368
"RE1","PWRNGS001_A",2057,127.031893654368
"RE1","PWRNGS001_A",2058,127.031893654368
"RE1","PWRNGS001_A",2059,127.031893654368
"RE1","PWRNGS001_A",2060,127.031893654368
"RE1","PWRNGS001_A",2061,127.031893654368
"RE1","PWRNGS001_A",2062,127.031893654368
"RE1","PWRNGS001_A",2063,127.031893654368
"RE1","PWRNGS001_A",2064,127.031893654368
"RE1","PWRNGS001_A",2065,127.031893654368
"RE1","PWRNGS001_A",2066,127.031893654368
"RE1","PWRNGS001_A",2067,127.031893654368
"RE1","PWRNGS001_A",2068,127.031893654368
"RE1","PWRNGS001_A",2069,127.031893654368
"RE1","PWRNGS001_A",2070,127.031893654368
"RE1","PWRNGS002_A",2015,0.0407152381197249
"RE1","PWRNGS002_A",2016,0.0407152381197249
"RE1","PWRNGS002_A",2017,0.0407152381197249
"RE1","PWRNGS002_A",2018,0.0407152381197249
"RE1","PWRNGS002_A",2019,0.0407152381197249
"RE1","PWRNGS002_A",2020,0.243221748784324
"RE1","PWRNGS002_A",2021,1.76108899333797
"RE1","PWRNGS002_A",2022,1.76108899333797
"RE1","PWRNGS002_A",2023,1.76108899333797
"RE1","PWRNGS002_A",2024,1.76108899333797
"RE1","PWRNGS002_A",2025,1.76108899333797
"RE1","PWRNGS002_A",2026,1.76108899333797
"RE1","PWRNGS002_A",2027,1.76108899333797
"RE1","PWRNGS002_A",2028,1.76108899333797
"RE1","PWRNGS002_A",2029,1.76108899333797
"RE1","PWRNGS002_A",2030,1.76108899333797
"RE1","PWRNGS002_A",2031,1.76108899333797
"RE1","PWRNGS002_A",2032,1.76108899333797
"RE1","PWRNGS002_A",2033,1.76108899333797
"RE1","PWRNGS002_A",2034,1.76108899333797
"RE1","PWRNGS002_A",2035,1.76108899333797
"RE1","PWRNGS002_A",2036,1.76108899333797
"RE1","PWRNGS002_A",2037,1.76108899333797
"RE1","PWRNGS002_A",2038,1.76108899333797
"RE1","PWRNGS002_A",2039,1.76108899333797
"RE1","PWRNGS002_A",2040,1.72037375521825
"RE1","PWRNGS002_A",2041,1.72037375521825
"RE1","PWRNGS002_A",2042,3.51521562883146
"RE1","PWRNGS002_A",2043,4.98688289347042
"RE1","PWRNGS002_A",2044,5.2679499967771
"RE1","PWRNGS002_A",2045,5.0654434861125
"RE1","PWRNGS002_A",2046,3.54757624155885
"RE1","PWRNGS002_A",2047,3.54757624155885
"RE1","PWRNGS002_A",2048,3.54757624155885
"RE1","PWRNGS002_A",2049,8.2350484865744
"RE1","PWRNGS002_A",2050,19.6266333124522
"RE1","PWRNGS002_A",2051,19.6266333124522
"RE1","PWRNGS002_A",2052,19.6266333124522
"RE1","PWRNGS002_A",2053,19.6266333124522
"RE1","PWRNGS002_A",2054,19.6266333124522
"RE1","PWRNGS002_A",2055,19.6266333124522
"RE1","PWRNGS002_A",2056,19.6266333124522
"RE1","PWRNGS002_A",2057,19.6266333124522
"RE1","PWRNGS002_A",2058,19.6266333124522
"RE1","PWRNGS002_A",2059,19.6266333124522
"RE1","PWRNGS002_A",2060,19.6266333124522
"RE1","PWRNGS002_A",2061,19.6266333124522
"RE1","PWRNGS002_A",2062,19.6266333124522
"RE1","PWRNGS002_A",2063,19.6266333124522
"RE1","PWRNGS002_A",2064,19.6266333124522
"RE1","PWRNGS002_A",2065,19.6266333124522
"RE1","PWRNGS002_A",2066,19.6266333124522
"RE1","PWRNGS002_A",2067,17.831791438839
"RE1","PWRNGS002_A",2068,16.3601241742001
"RE1","PWRNGS002_A",2069,16.0790570708934
"RE1","PWRNGS002_A",2070,16.0790570708934
"RE1","PWRBIO_A",2015,6.75
"RE1","PWRBIO_A",2016,6.75
"RE1","PWRBIO_A",2017,6.75
"RE1","PWRBIO_A",2018,6.75
"RE1","PWRBIO_A",2019,6.75
"RE1","PWRBIO_A",2020,6.75
"RE1","PWRBIO_A",2021,6.75
"RE1","PWRBIO_A",2022,6.75
"RE1","PWRBIO_A",2023,6.75
"RE1","PWRBIO_A",2024,6.75
"RE1","PWRBIO_A",2025,6.75
"RE1","PWRBIO_A",2026,6.75
"RE1","PWRBIO_A",2027,6.75
"RE1","PWRBIO_A",2028,6.75
"RE1","PWRBIO_A",2029,6.75
"RE1","PWRBIO_A",2030,6.75
"RE1","PWRHYD_A",2015,44.91
"RE1","PWRHYD_A",2016,44.91
"RE1","PWRHYD_A",2017,44.91
"RE1","PWRHYD_A",2018,44.91
"RE1","PWRHYD_A",2019,44.91
"RE1","PWRHYD_A",2020,44.91
"RE1","PWRHYD_A",2021,44.91
"RE1","PWRHYD_A",2022,44.91
"RE1","PWRHYD_A",2023,44.91
"RE1","PWRHYD_A",2024,44.91
"RE1","PWRHYD_A",2025,44.91
"RE1","PWRHYD_A",2026,44.91
"RE1","PWRHYD_A",2027,44.91
"RE1","PWRHYD_A",2028,24.66
"RE1","PWRHYD_A",2029,24.66
"RE1","PWRHYD_A",2030,24.66
"RE1","PWRHYD_A",2031,24.66
"RE1","PWRHYD_A",2032,24.66
"RE1","PWRHYD_A",2033,24.66
"RE1","PWRHYD_A",2034,24.66
"RE1","PWRHYD_A",2035,24.66
"RE1","PWRHYD_A",2036,24.66
"RE1","PWRHYD_A",2037,9.54
"RE1","PWRHYD_A",2038,9.54
"RE1","PWRHYD_A",2039,9.54
"RE1","PWRGEO_A",2015,120.377131668658
"RE1","PWRGEO_A",2016,120.377131668658
"RE1","PWRGEO_A",2017,124.502122362149
"RE1","PWRGEO_A",2018,136.866405440416
"RE1","PWRGEO_A",2019,153.219946151395
"RE1","PWRGEO_A",2020,165.394623659982
"RE1","PWRGEO_A",2021,184.059218118303
"RE1","PWRGEO_A",2022,195.987070785302
"RE1","PWRGEO_A",2023,203.120290011153
"RE1","PWRGEO_A",2024,203.120290011153
"RE1","PWRGEO_A",2025,203.120290011153
"RE1","PWRGEO_A",2026,242.21391265262
"RE1","PWRGEO_A",2027,260.936148461106
"RE1","PWRGEO_A",2028,294.370025311889
"RE1","PWRGEO_A",2029,315.645116338486
"RE1","PWRGEO_A",2030,338.318632929565
"RE1","PWRGEO_A",2031,362.172841981758
"RE1","PWRGEO_A",2032,390.25669160302
"RE1","PWRGEO_A",2033,420.43940080756
"RE1","PWRGEO_A",2034,452.860379469236
"RE1","PWRGEO_A",2035,499.006707809501
"RE1","PWRGEO_A",2036,539.468995537821
"RE1","PWRGEO_A",2037,591.799967376787
"RE1","PWRGEO_A",2038,636.448247519975
"RE1","PWRGEO_A",2039,684.352876954787
"RE1","PWRGEO_A",2040,731.02649531555
"RE1","PWRGEO_A",2041,770.761627352057
"RE1","PWRGEO_A",2042,766.636636658565
"RE1","PWRGEO_A",2043,754.272353580299
"RE1","PWRGEO_A",2044,737.91881286932
"RE1","PWRGEO_A",2045,725.744135360733
"RE1","PWRGEO_A",2046,707.079540902411
"RE1","PWRGEO_A",2047,695.151688235412
"RE1","PWRGEO_A",2048,688.018469009562
"RE1","PWRGEO_A",2049,688.018469009562
"RE1","PWRGEO_A",2050,688.018469009562
"RE1","PWRGEO_A",2051,648.924846368094
"RE1","PWRGEO_A",2052,630.202610559608
"RE1","PWRGEO_A",2053,596.768733708825
"RE1","PWRGEO_A",2054,575.493642682228
"RE1","PWRGEO_A",2055,552.82012609115
"RE1","PWRGEO_A",2056,528.965917038956
"RE1","PWRGEO_A",2057,500.882067417695
"RE1","PWRGEO_A",2058,470.699358213154
"RE1","PWRGEO_A",2059,438.278379551478
"RE1","PWRGEO_A",2060,392.132051211213
"RE1","PWRGEO_A",2061,351.669763482894
"RE1","PWRGEO_A",2062,299.338791643927
"RE1","PWRGEO_A",2063,254.690511500739
"RE1","PWRGEO_A",2064,189.985882065928
"RE1","PWRGEO_A",2065,39.7351320365064
"RE1","PWRSOL_A",2015,0.67548
"RE1","PWRSOL_A",2016,0.6263712
"RE1","PWRSOL_A",2017,0.5772624
"RE1","PWRSOL_A",2018,0.5281536
"RE1","PWRSOL_A",2019,0.4790448
