REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"RE1","MINCOA_A","EMIC02_A",1,2016,333.549261024065
"RE1","MINCOA_A","EMIC02_A",1,2017,535.030739811305
"RE1","MINCOA_A","EMIC02_A",1,2018,599.454541078786
"RE1","MINCOA_A","EMIC02_A",1,2019,539.272344515998
"RE1","MINCOA_A","EMIC02_A",1,2020,536.907494696918
"RE1","MINCOA_A","EMIC02_A",1,2021,482.443902406102
"RE1","MINCOA_A","EMIC02_A",1,2022,477.692979137116
"RE1","MINCOA_A","EMIC02_A",1,2023,508.301401259841
"RE1","MINCOA_A","EMIC02_A",1,2024,689.047849522763
"RE1","MINCOA_A","EMIC02_A",1,2025,833.058440324687
"RE1","MINCOA_A","EMIC02_A",1,2026,415.250826854553
"RE1","MINCOA_A","EMIC02_A",1,2027,366.894684215309
"RE1","MINCOA_A","EMIC02_A",1,2028,328.621296295825
"RE1","MINCOA_A","EMIC02_A",1,2029,335.679855743804
"RE1","MINCOA_A","EMIC02_A",1,2030,343.202378893189
"RE1","MINCOA_A","EMIC02_A",1,2031,511.020277004933
"RE1","MINCOA_A","EMIC02_A",1,2032,496.75929803176
"RE1","MINCOA_A","EMIC02_A",1,2033,481.432518152073
"RE1","MINCOA_A","EMIC02_A",1,2034,464.96914503125
"RE1","MINCOA_A","EMIC02_A",1,2035,441.536039277423
"RE1","MINCOA_A","EMIC02_A",1,2036,420.989289373764
"RE1","MINCOA_A","EMIC02_A",1,2037,396.240827765274
"RE1","MINCOA_A","EMIC02_A",1,2038,398.233092738593
"RE1","MINCOA_A","EMIC02_A",1,2039,400.370660299464
"RE1","MINCOA_A","EMIC02_A",1,2040,419.526011544641
"RE1","MINCOA_A","EMIC02_A",1,2041,456.134384210694
"RE1","MINCOA_A","EMIC02_A",1,2042,1798.51412070096
"RE1","MINCOA_A","EMIC02_A",1,2043,1796.79407240713
"RE1","MINCOA_A","EMIC02_A",1,2044,2197.7180717286
