REGION,TECHNOLOGY,YEAR,VALUE
"RE1","MINCOA_A",2016,12.4820092230502
"RE1","MINCOA_A",2017,24.278750468054
"RE1","MINCOA_A",2018,26.7810625202507
"RE1","MINCOA_A",2019,23.7148661855038
"RE1","MINCOA_A",2020,23.2363461217082
"RE1","MINCOA_A",2021,20.5485148624662
"RE1","MINCOA_A",2022,20.0197188861611
"RE1","MINCOA_A",2023,20.9562619921035
"RE1","MINCOA_A",2024,27.9402566072082
"RE1","MINCOA_A",2025,33.2159949731845
"RE1","MINCOA_A",2026,16.5992918609336
"RE1","MINCOA_A",2027,14.7034014294116
"RE1","MINCOA_A",2028,13.202610692145
"RE1","MINCOA_A",2029,13.5197119980271
"RE1","MINCOA_A",2030,13.8567343729664
"RE1","MINCOA_A",2031,20.6767231049051
"RE1","MINCOA_A",2032,20.1428333688146
"RE1","MINCOA_A",2033,19.5631579601309
"RE1","MINCOA_A",2034,18.9345364373353
"RE1","MINCOA_A",2035,18.0186283577124
"RE1","MINCOA_A",2036,17.1801367793607
"RE1","MINCOA_A",2037,16.1701776990594
"RE1","MINCOA_A",2038,16.251479968752
"RE1","MINCOA_A",2039,16.3387118865177
"RE1","MINCOA_A",2040,17.1204219270234
"RE1","MINCOA_A",2041,18.6167005805044
"RE1","MINCOA_A",2042,73.4138825001708
"RE1","MINCOA_A",2043,73.3528644287611
"RE1","MINCOA_A",2044,89.7315278939217
"RE1","MINCOA_A",2045,107.001038172306
"RE1","MINCOA_A",2046,107.014444650801
"RE1","MINCOA_A",2047,107.02782342996
"RE1","MINCOA_A",2048,107.041229908455
"RE1","MINCOA_A",2049,107.05463638695
"RE1","MINCOA_A",2050,107.068015166109
"RE1","MINOIL_A",2015,58.2338823535267
"RE1","MINOIL_A",2016,39.4101761714864
"RE1","MINOIL_A",2017,43.9710562355439
"RE1","MINOIL_A",2018,55.3745389152353
"RE1","MINOIL_A",2019,62.4160056192617
"RE1","MINOIL_A",2020,63.2137914231251
"RE1","MINNGS_A",2015,8.90202511418391
"RE1","MINNGS_A",2016,7.37843607469535
"RE1","MINNGS_A",2017,10.1250453031588
"RE1","MINNGS_A",2018,10.941032231658
"RE1","MINNGS_A",2019,10.7756485951682
"RE1","MINNGS_A",2020,15.4755794280577
"RE1","MINNGS_A",2021,45.0950592561791
"RE1","MINNGS_A",2022,46.4983407634198
"RE1","MINNGS_A",2023,47.700756370739
"RE1","MINNGS_A",2024,48.3376945974428
"RE1","MINNGS_A",2025,60.0196985106446
"RE1","MINNGS_A",2026,16.8236473746866
"RE1","MINNGS_A",2027,9.74553374744648
"RE1","MINNGS_A",2028,3.14821925878816
"RE1","MINNGS_A",2029,4.8107497671984
"RE1","MINNGS_A",2030,3.14613296204263
"RE1","MINNGS_A",2031,9.12906024281627
"RE1","MINNGS_A",2032,11.1799169354589
