REGION,TECHNOLOGY,YEAR,VALUE
"RE1","MINCOA_A",2016,0.000616617793556503
"RE1","MINCOA_A",2017,0.000860445232268152
"RE1","MINCOA_A",2018,0.00100992173179094
"RE1","MINCOA_A",2019,0.00100992173179094
"RE1","MINCOA_A",2020,0.00100992173179094
"RE1","MINCOA_A",2021,0.00100992173179094
"RE1","MINCOA_A",2022,0.00100992173179094
"RE1","MINCOA_A",2023,0.00100992173179094
"RE1","MINCOA_A",2024,0.00100992173179094
"RE1","MINCOA_A",2025,0.00100992173179094
"RE1","MINCOA_A",2026,0.00100992173179094
"RE1","MINCOA_A",2027,0.00100992173179094
"RE1","MINCOA_A",2028,0.00100992173179094
"RE1","MINCOA_A",2029,0.00100992173179094
"RE1","MINCOA_A",2030,0.00100992173179094
"RE1","MINCOA_A",2031,0.00100992173179094
"RE1","MINCOA_A",2032,0.00100992173179094
"RE1","MINCOA_A",2033,0.00100992173179094
"RE1","MINCOA_A",2034,0.00100992173179094
"RE1","MINCOA_A",2035,0.00100992173179094
"RE1","MINCOA_A",2036,0.00100992173179094
"RE1","MINCOA_A",2037,0.00100992173179094
"RE1","MINCOA_A",2038,0.00100992173179094
"RE1","MINCOA_A",2039,0.00100992173179094
"RE1","MINCOA_A",2040,0.00100992173179094
"RE1","MINCOA_A",2041,0.00100992173179094
"RE1","MINCOA_A",2042,0.00276993357329629
"RE1","MINCOA_A",2043,0.00276993357329629
"RE1","MINCOA_A",2044,0.00276993357329629
"RE1","MINCOA_A",2045,0.00276993357329629
"RE1","MINCOA_A",2046,0.00276993357329629
"RE1","MINCOA_A",2047,0.00276993357329629
"RE1","MINCOA_A",2048,0.00276993357329629
"RE1","MINCOA_A",2049,0.00276993357329629
"RE1","MINCOA_A",2050,0.0027699335732963
"RE1","MINOIL_A",2015,0.00184751340022687
"RE1","MINOIL_A",2016,0.00166658855073866
"RE1","MINOIL_A",2017,0.00206259768
"RE1","MINOIL_A",2018,0.00206259768
"RE1","MINOIL_A",2019,0.00197862082121148
"RE1","MINOIL_A",2020,0.00206259768
"RE1","MINNGS_A",2015,0.00028718577154873
"RE1","MINNGS_A",2016,0.00028718577154873
"RE1","MINNGS_A",2017,0.00028718577154873
"RE1","MINNGS_A",2018,0.00028718577154873
"RE1","MINNGS_A",2019,0.00028718577154873
"RE1","MINNGS_A",2020,0.000377051233233949
"RE1","MINNGS_A",2021,0.00189283716090027
"RE1","MINNGS_A",2022,0.00189283716090027
"RE1","MINNGS_A",2023,0.00189283716090027
"RE1","MINNGS_A",2024,0.00189283716090027
"RE1","MINNGS_A",2025,0.00189283716090027
"RE1","MINNGS_A",2026,0.000868232201069467
"RE1","MINNGS_A",2027,0.000591264852510837
"RE1","MINNGS_A",2028,0.00013381086563455
"RE1","MINNGS_A",2029,0.00018474926189756
"RE1","MINNGS_A",2030,0.000135646673144327
"RE1","MINNGS_A",2031,0.000378333433159056
"RE1","MINNGS_A",2032,0.000475522577248279
"RE1","MINNGS_A",2033,0.000579975197293019
"RE1","MINNGS_A",2034,0.000692173745895058
"RE1","MINNGS_A",2035,0.00085187130213235
"RE1","MINNGS_A",2036,0.000981460328244067
"RE1","MINNGS_A",2037,0.000955417264973376
"RE1","MINNGS_A",2038,0.00107812105237768
"RE1","MINNGS_A",2039,0.000773943446708879
"RE1","MINNGS_A",2040,0.00109094540332145
"RE1","MINNGS_A",2041,0.00135133780382926
"RE1","MINNGS_A",2042,0.00267125855306008
"RE1","MINNGS_A",2043,0.00556666660091619
"RE1","MINNGS_A",2044,0.00855554734599868
"RE1","MINNGS_A",2045,0.0114077675318633
"RE1","MINNGS_A",2046,0.0145049813635057
"RE1","MINNGS_A",2047,0.0177047046725711
"RE1","MINNGS_A",2048,0.0208463240599163
"RE1","MINNGS_A",2049,0.0246175523610472
"RE1","MINNGS_A",2050,0.0296727480006549
"RE1","PWRCOA_A",2016,214.21639969129
"RE1","PWRCOA_A",2017,84.7069880444048
"RE1","PWRCOA_A",2018,51.9289548579897
"RE1","PWRCOA_A",2042,611.437756161289
"RE1","PWRNGS001_A",2015,58.2533169818096
"RE1","PWRNGS001_A",2021,182.304707486725
"RE1","PWRNGS001_A",2043,485.376039560823
"RE1","PWRNGS001_A",2044,619.975475030996
"RE1","PWRNGS001_A",2045,695.098166773453
"RE1","PWRNGS001_A",2046,816.226773489159
"RE1","PWRNGS001_A",2047,692.613184743137
"RE1","PWRNGS001_A",2048,680.035990285535
"RE1","PWRNGS001_A",2049,366.05358112381
"RE1","PWRNGS002_A",2015,1.42503333419037
"RE1","PWRNGS002_A",2020,7.08772787326096
"RE1","PWRNGS002_A",2021,53.1253535593778
"RE1","PWRNGS002_A",2042,62.8194655764622
"RE1","PWRNGS002_A",2043,51.5083542623637
"RE1","PWRNGS002_A",2044,9.83734861573382
"RE1","PWRNGS002_A",2049,164.061528575544
"RE1","PWRNGS002_A",2050,398.705468905725
"RE1","PWRTRN_A",2018,25.6802170575713
"RE1","PWRTRN_A",2019,35.6529078750618
"RE1","PWRTRN_A",2020,35.4830551479003
"RE1","PWRTRN_A",2021,31.4895876006777
"RE1","PWRTRN_A",2022,33.6668855294387
"RE1","PWRTRN_A",2023,35.9575599033256
"RE1","PWRTRN_A",2024,38.3716249617619
"RE1","PWRTRN_A",2025,40.9188160613813
"RE1","PWRTRN_A",2026,53.0639829076209
"RE1","PWRTRN_A",2027,56.5810675574555
"RE1","PWRTRN_A",2028,60.3210372834788
"RE1","PWRTRN_A",2029,64.2961329501716
"RE1","PWRTRN_A",2030,68.522359569012
"RE1","PWRTRN_A",2031,75.6569037585882
"RE1","PWRTRN_A",2032,81.3660032863801
"RE1","PWRTRN_A",2033,87.4469294433654
"RE1","PWRTRN_A",2034,93.9317612047198
"RE1","PWRTRN_A",2035,133.697564757852
"RE1","PWRTRN_A",2036,117.229463933052
"RE1","PWRTRN_A",2037,125.767199952307
"RE1","PWRTRN_A",2038,134.932995233446
"RE1","PWRTRN_A",2039,144.774112562848
"RE1","PWRTRN_A",2040,155.340175183869
"RE1","PWRTRN_A",2041,126.49077389889
"RE1","PWRTRN_A",2042,133.593623660177
"RE1","PWRTRN_A",2043,141.092916194981
"RE1","PWRTRN_A",2044,149.013932534041
"RE1","PWRTRN_A",2045,157.375757508515
"RE1","PWRTRN_A",2046,169.553670249742
"RE1","PWRTRN_A",2047,179.036256292966
"RE1","PWRTRN_A",2048,189.048852104464
"RE1","PWRTRN_A",2049,199.620762221188
"RE1","PWRTRN_A",2050,210.782337291712
"RE1","PWRDIST_A",2019,55.4302083134756
"RE1","PWRDIST_A",2020,218.107837599429
"RE1","PWRDIST_A",2021,195.39453246826
"RE1","PWRDIST_A",2022,209.262830864078
"RE1","PWRDIST_A",2023,223.904299076766
"RE1","PWRDIST_A",2024,239.386044593324
"RE1","PWRDIST_A",2025,255.774263831233
"RE1","PWRDIST_A",2026,329.956099930573
"RE1","PWRDIST_A",2027,352.687790095307
"RE1","PWRDIST_A",2028,376.925364178109
"RE1","PWRDIST_A",2029,402.75708284316
"RE1","PWRDIST_A",2030,430.29509957579
"RE1","PWRDIST_A",2031,474.662625077089
"RE1","PWRDIST_A",2032,511.558640442204
"RE1","PWRDIST_A",2033,550.971818618572
"RE1","PWRDIST_A",2034,593.120968902052
"RE1","PWRDIST_A",2035,839.699955162195
"RE1","PWRDIST_A",2036,742.22287218295
"RE1","PWRDIST_A",2037,798.164931008644
"RE1","PWRDIST_A",2038,858.363550760591
"RE1","PWRDIST_A",2039,923.149695139329
"RE1","PWRDIST_A",2040,992.872714717646
"RE1","PWRDIST_A",2041,818.004366168188
"RE1","PWRDIST_A",2042,865.984909308912
"RE1","PWRDIST_A",2043,916.769450468002
"RE1","PWRDIST_A",2044,970.541858368002
"RE1","PWRDIST_A",2045,1027.44922798689
"RE1","PWRDIST_A",2046,1108.74678364764
"RE1","PWRDIST_A",2047,1173.61566895151
"RE1","PWRDIST_A",2048,1242.28144337535
"RE1","PWRDIST_A",2049,1314.96474938618
"RE1","PWRDIST_A",2050,1391.89542288715
"RE1","MINBIO_A",2015,0.00040586832
"RE1","MINBIO_A",2016,0.00040586832
"RE1","MINBIO_A",2017,0.00040586832
"RE1","MINBIO_A",2018,0.00040586832
"RE1","MINBIO_A",2019,0.00040586832
"RE1","MINBIO_A",2020,0.00040586832
"RE1","MINBIO_A",2021,0.00040586832
"RE1","MINBIO_A",2022,0.00040586832
"RE1","MINBIO_A",2023,0.00040586832
"RE1","MINBIO_A",2024,0.00040586832
"RE1","MINBIO_A",2025,0.00040586832
"RE1","MINBIO_A",2026,0.00040586832
"RE1","MINBIO_A",2027,0.00040586832
"RE1","MINBIO_A",2028,0.00040586832
"RE1","MINBIO_A",2029,0.00040586832
"RE1","MINBIO_A",2030,0.00040586832
"RE1","MINHYD_A",2015,0.00105759589064383
"RE1","MINHYD_A",2016,0.00105759589064383
"RE1","MINHYD_A",2017,0.00105759589064383
"RE1","MINHYD_A",2018,0.00105759589064383
"RE1","MINHYD_A",2019,0.00105759589064383
"RE1","MINHYD_A",2020,0.00105759589064383
"RE1","MINHYD_A",2021,0.00105759589064383
"RE1","MINHYD_A",2022,0.00105759589064383
"RE1","MINHYD_A",2023,0.00105759589064383
"RE1","MINHYD_A",2024,0.00105759589064383
"RE1","MINHYD_A",2025,0.00105759589064383
"RE1","MINHYD_A",2026,0.00105759589064383
"RE1","MINHYD_A",2027,0.00105759589064383
"RE1","MINHYD_A",2028,0.000580723996064947
"RE1","MINHYD_A",2029,0.000580723996064947
"RE1","MINHYD_A",2030,0.000580723996064947
"RE1","MINHYD_A",2031,0.000580723996064947
"RE1","MINHYD_A",2032,0.000580723996064947
"RE1","MINHYD_A",2033,0.000580723996064947
"RE1","MINHYD_A",2034,0.000580723996064947
"RE1","MINHYD_A",2035,0.000572076245405047
"RE1","MINHYD_A",2036,0.000580723996064947
"RE1","MINHYD_A",2037,0.000224659648112717
"RE1","MINHYD_A",2038,0.000224659648112717
"RE1","MINHYD_A",2039,0.000224659648112717
"RE1","MINGEO_A",2015,0.00313978468760043
"RE1","MINGEO_A",2016,0.00313978468760044
"RE1","MINGEO_A",2017,0.0032473764073597
"RE1","MINGEO_A",2018,0.00356987276646182
"RE1","MINGEO_A",2019,0.00399642053347221
"RE1","MINGEO_A",2020,0.00431397142946094
"RE1","MINGEO_A",2021,0.00480079818025789
"RE1","MINGEO_A",2022,0.00511191116858597
"RE1","MINGEO_A",2023,0.00529796621233189
"RE1","MINGEO_A",2024,0.00529796621233189
"RE1","MINGEO_A",2025,0.00529796621233189
"RE1","MINGEO_A",2026,0.00631764126232702
"RE1","MINGEO_A",2027,0.00680597146669619
"RE1","MINGEO_A",2028,0.00767802393320748
"RE1","MINGEO_A",2029,0.0082329400049451
"RE1","MINGEO_A",2030,0.00882433107083854
"RE1","MINGEO_A",2031,0.009446518020126
"RE1","MINGEO_A",2032,0.0101790262614124
"RE1","MINGEO_A",2033,0.0109662788473235
"RE1","MINGEO_A",2034,0.0118119119916581
"RE1","MINGEO_A",2035,0.0130155420591244
"RE1","MINGEO_A",2036,0.0140709158637134
"RE1","MINGEO_A",2037,0.015435859369092
"RE1","MINGEO_A",2038,0.0166004159952388
"RE1","MINGEO_A",2039,0.017849907654324
"RE1","MINGEO_A",2040,0.019067290974666
"RE1","MINGEO_A",2041,0.020103698450061
"RE1","MINGEO_A",2042,0.0199961067303017
"RE1","MINGEO_A",2043,0.0196736103711996
"RE1","MINGEO_A",2044,0.0192470626041892
"RE1","MINGEO_A",2045,0.0189295117082005
"RE1","MINGEO_A",2046,0.0184426849574035
"RE1","MINGEO_A",2047,0.0181315719690754
"RE1","MINGEO_A",2048,0.0179455169253295
"RE1","MINGEO_A",2049,0.0179455169253295
"RE1","MINGEO_A",2050,0.0179455169253295
"RE1","PWRGEO_A",2015,2336.57105562193
"RE1","PWRGEO_A",2017,137.499689783043
"RE1","PWRGEO_A",2018,412.142769275552
"RE1","PWRGEO_A",2019,545.118023699295
"RE1","PWRGEO_A",2020,405.822583619582
"RE1","PWRGEO_A",2021,622.153148610708
"RE1","PWRGEO_A",2022,397.595088899977
"RE1","PWRGEO_A",2023,237.773974195001
"RE1","PWRGEO_A",2026,1303.12075471559
"RE1","PWRGEO_A",2027,624.074526949537
"RE1","PWRGEO_A",2028,1114.46256169277
"RE1","PWRGEO_A",2029,709.169700886558
"RE1","PWRGEO_A",2030,755.783886369297
"RE1","PWRGEO_A",2031,795.140301739775
"RE1","PWRGEO_A",2032,936.128320708711
"RE1","PWRGEO_A",2033,1006.09030681803
"RE1","PWRGEO_A",2034,1080.69928872253
"RE1","PWRGEO_A",2035,1538.21094467549
"RE1","PWRGEO_A",2036,1348.74292427733
"RE1","PWRGEO_A",2037,1744.36572796555
"RE1","PWRGEO_A",2038,1488.27600477293
"RE1","PWRGEO_A",2039,2156.82098116038
"RE1","PWRGEO_A",2040,5008.35833431404
"RE1","PWRGEO_A",2041,1324.50440121688
"RE1","MINSOL_A",2015,2.5364054371968e-05
"RE1","MINSOL_A",2016,2.5364054371968e-05
"RE1","MINSOL_A",2017,2.5364054371968e-05
"RE1","MINSOL_A",2018,2.5364054371968e-05
"RE1","MINSOL_A",2019,2.5364054371968e-05
"RE1","MINSOL_A",2020,2.5364054371968e-05
"RE1","MINSOL_A",2021,2.5364054371968e-05
"RE1","MINSOL_A",2022,7.47988842061044e-05
"RE1","MINSOL_A",2023,0.00025438106234653
"RE1","MINSOL_A",2024,0.00061816739211141
"RE1","MINSOL_A",2025,0.00100610264187287
"RE1","MINSOL_A",2026,0.00100610264187287
"RE1","MINSOL_A",2027,0.00126343938821216
"RE1","MINSOL_A",2028,0.00154100638254933
"RE1","MINSOL_A",2029,0.00164424053358838
"RE1","MINSOL_A",2030,0.0018215160462914
"RE1","MINSOL_A",2031,0.00204227116326806
"RE1","MINSOL_A",2032,0.00214869801161788
"RE1","MINSOL_A",2033,0.00226307872005419
"RE1","MINSOL_A",2034,0.00238594159768356
"RE1","MINSOL_A",2035,0.00256081820307787
"RE1","MINSOL_A",2036,0.00271943154731821
"RE1","MINSOL_A",2037,0.00308841071842718
"RE1","MINSOL_A",2038,0.0033265796289005
"RE1","MINSOL_A",2039,0.00380245976519332
"RE1","MINSOL_A",2040,0.00473030961343555
"RE1","MINSOL_A",2041,0.00503091128758037
"RE1","MINSOL_A",2042,0.00584219608433134
"RE1","MINSOL_A",2043,0.00745846197724866
"RE1","MINSOL_A",2044,0.00843390486452303
"RE1","MINSOL_A",2045,0.00843390486452303
"RE1","MINSOL_A",2046,0.00838447003468889
"RE1","MINSOL_A",2047,0.00820488785654847
"RE1","MINSOL_A",2048,0.00784110152678359
"RE1","MINSOL_A",2049,0.00745316627702213
"RE1","MINSOL_A",2050,0.00745316627702213
"RE1","PWRSOL_A",2022,57.0857628151968
"RE1","PWRSOL_A",2023,193.985720003835
"RE1","PWRSOL_A",2024,365.839409366428
"RE1","PWRSOL_A",2025,361.199306862065
"RE1","PWRSOL_A",2027,230.056366581588
"RE1","PWRSOL_A",2028,242.994258941091
"RE1","PWRSOL_A",2029,88.4611071809915
"RE1","PWRSOL_A",2030,148.619240711104
"RE1","PWRSOL_A",2031,181.477654463276
"RE1","PWRSOL_A",2032,85.7589431647414
"RE1","PWRSOL_A",2033,90.3066316319483
"RE1","PWRSOL_A",2034,95.0039378969578
"RE1","PWRSOL_A",2035,132.377528226776
