REGION,TECHNOLOGY,YEAR,VALUE
"RE1","PWRCOA_A",2042,12.3335140234274
"RE1","PWRNGS001_A",2043,3.82040786576743
"RE1","PWRNGS001_A",2044,7.1469022468523
"RE1","PWRNGS001_A",2045,10.4336183408237
"RE1","PWRNGS001_A",2046,14.9589935153752
"RE1","PWRNGS001_A",2047,14.8813439623433
"RE1","PWRNGS001_A",2048,16.6569118464666
"RE1","PWRNGS001_A",2049,10.0149606297251
"RE1","PWRNGS002_A",2049,2.06281672862007
"RE1","PWRNGS002_A",2050,6.52757026015755
"RE1","PWRTRN_A",2022,0.11429021284715
"RE1","PWRTRN_A",2023,0.238320210494433
"RE1","PWRTRN_A",2024,0.372471276545901
"RE1","PWRTRN_A",2025,0.517191200171264
"RE1","PWRTRN_A",2026,0.818899576346858
"RE1","PWRTRN_A",2027,1.02367430425944
"RE1","PWRTRN_A",2028,1.2441440151401
"RE1","PWRTRN_A",2029,1.4812511621124
"RE1","PWRTRN_A",2030,1.7360580031316
"RE1","PWRTRN_A",2031,2.08237456891409
"RE1","PWRTRN_A",2032,2.40908412912843
"RE1","PWRTRN_A",2033,2.76269564005156
"RE1","PWRTRN_A",2034,3.14513055456968
"RE1","PWRTRN_A",2035,4.71731053392741
"RE1","PWRTRN_A",2036,4.33725766339513
"RE1","PWRTRN_A",2037,4.85850554546344
"RE1","PWRTRN_A",2038,5.42243233907236
"RE1","PWRTRN_A",2039,6.0323353054072
"RE1","PWRTRN_A",2040,6.69171404401251
"RE1","PWRTRN_A",2041,5.61887441044648
"RE1","PWRTRN_A",2042,6.1053167595789
"RE1","PWRTRN_A",2043,6.61996318780755
"RE1","PWRTRN_A",2044,7.16453996266041
"RE1","PWRTRN_A",2045,7.74050993713614
"RE1","PWRTRN_A",2046,8.51795129413152
"RE1","PWRTRN_A",2047,9.17381204312246
"RE1","PWRTRN_A",2048,9.86734930279352
"RE1","PWRTRN_A",2049,10.6006571198477
"RE1","PWRTRN_A",2050,11.3759135782028
"RE1","PWRDIST_A",2019,2.17985875886344
"RE1","PWRDIST_A",2020,8.86772338565458
"RE1","PWRDIST_A",2021,8.19200416830218
"RE1","PWRDIST_A",2022,9.02613550905457
"RE1","PWRDIST_A",2023,9.91516804165334
"RE1","PWRDIST_A",2024,10.8629440910646
"RE1","PWRDIST_A",2025,11.8734209284275
"RE1","PWRDIST_A",2026,15.64484990498
"RE1","PWRDIST_A",2027,17.0563679669823
"RE1","PWRDIST_A",2028,18.5681699696624
"RE1","PWRDIST_A",2029,20.1863382664764
"RE1","PWRDIST_A",2030,21.91824364923
"RE1","PWRDIST_A",2031,24.5477015883122
"RE1","PWRDIST_A",2032,26.8350559901036
"RE1","PWRDIST_A",2033,29.2915747499583
"RE1","PWRDIST_A",2034,31.9311918966211
"RE1","PWRDIST_A",2035,45.7437275818422
"RE1","PWRDIST_A",2036,40.8862192310009
"RE1","PWRDIST_A",2037,44.4314715737145
"RE1","PWRDIST_A",2038,48.2573928041175
"RE1","PWRDIST_A",2039,52.3860485096586
"RE1","PWRDIST_A",2040,56.8408145757562
"RE1","PWRDIST_A",2041,47.2207044734382
