REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","MINCOA_A","COA_A",2016,3.52589070849963
"RE1","MINCOA_A","COA_A",2017,5.65571606565861
"RE1","MINCOA_A","COA_A",2018,6.33672876404637
"RE1","MINCOA_A","COA_A",2019,5.70055332469342
"RE1","MINCOA_A","COA_A",2020,5.67555491222958
"RE1","MINCOA_A","COA_A",2021,5.09982983515965
"RE1","MINCOA_A","COA_A",2022,5.04960865895471
"RE1","MINCOA_A","COA_A",2023,5.37316491818014
"RE1","MINCOA_A","COA_A",2024,7.28380390616029
"RE1","MINCOA_A","COA_A",2025,8.80611459117005
"RE1","MINCOA_A","COA_A",2026,4.38954362425531
"RE1","MINCOA_A","COA_A",2027,3.87837932574322
"RE1","MINCOA_A","COA_A",2028,3.47379805809541
"RE1","MINCOA_A","COA_A",2029,3.54841285141442
"RE1","MINCOA_A","COA_A",2030,3.62793212360664
"RE1","MINCOA_A","COA_A",2031,5.40190567658491
"RE1","MINCOA_A","COA_A",2032,5.25115537031459
"RE1","MINCOA_A","COA_A",2033,5.08913866968365
"RE1","MINCOA_A","COA_A",2034,4.91510724134514
"RE1","MINCOA_A","COA_A",2035,4.66739999236176
"RE1","MINCOA_A","COA_A",2036,4.45020390458524
"RE1","MINCOA_A","COA_A",2037,4.1885922596752
"RE1","MINCOA_A","COA_A",2038,4.2096521431141
"RE1","MINCOA_A","COA_A",2039,4.23224799470893
"RE1","MINCOA_A","COA_A",2040,4.43473585142326
"RE1","MINCOA_A","COA_A",2041,4.82171653499677
"RE1","MINCOA_A","COA_A",2042,19.0117771744288
"RE1","MINCOA_A","COA_A",2043,18.9935948457413
"RE1","MINCOA_A","COA_A",2044,23.2316920901543
"RE1","MINCOA_A","COA_A",2045,27.6993357329629
"RE1","MINCOA_A","COA_A",2046,27.6993357329629
"RE1","MINCOA_A","COA_A",2047,27.6993357329629
"RE1","MINCOA_A","COA_A",2048,27.6993357329629
"RE1","MINCOA_A","COA_A",2049,27.6993357329629
"RE1","MINCOA_A","COA_A",2050,27.6993357329629
"RE1","MINOIL_A","OIL_A",2015,4.87312823042064
"RE1","MINOIL_A","OIL_A",2016,4.19703686597299
"RE1","MINOIL_A","OIL_A",2017,5.72539794733645
"RE1","MINOIL_A","OIL_A",2018,5.69111396867783
"RE1","MINOIL_A","OIL_A",2019,5.38069013959152
"RE1","MINOIL_A","OIL_A",2020,5.70007136367224
"RE1","MINNGS_A","NGS_A",2015,1.25380635411041
"RE1","MINNGS_A","NGS_A",2016,1.07694664330774
"RE1","MINNGS_A","NGS_A",2017,1.36817374595901
"RE1","MINNGS_A","NGS_A",2018,1.38984412369996
"RE1","MINNGS_A","NGS_A",2019,1.29011304842586
"RE1","MINNGS_A","NGS_A",2020,1.75033930180167
"RE1","MINNGS_A","NGS_A",2021,4.90719106921553
"RE1","MINNGS_A","NGS_A",2022,4.87737380691978
"RE1","MINNGS_A","NGS_A",2023,4.83136194650146
"RE1","MINNGS_A","NGS_A",2024,4.73499741369461
"RE1","MINNGS_A","NGS_A",2025,5.69456039714536
"RE1","MINNGS_A","NGS_A",2026,1.59801055433688
"RE1","MINNGS_A","NGS_A",2027,0.926785902541744
"RE1","MINNGS_A","NGS_A",2028,0.299760461491191
"RE1","MINNGS_A","NGS_A",2029,0.458647569231966
"RE1","MINNGS_A","NGS_A",2030,0.300345961972675
"RE1","MINNGS_A","NGS_A",2031,0.869656278251618
"RE1","MINNGS_A","NGS_A",2032,1.06277015622827
"RE1","MINNGS_A","NGS_A",2033,1.27031648983054
"RE1","MINNGS_A","NGS_A",2034,1.49325390765572
"RE1","MINNGS_A","NGS_A",2035,1.8105713887117
"RE1","MINNGS_A","NGS_A",2036,2.06309672052282
"RE1","MINNGS_A","NGS_A",2037,1.85213987413723
"RE1","MINNGS_A","NGS_A",2038,2.1851569104349
"RE1","MINNGS_A","NGS_A",2039,1.46908421787131
"RE1","MINNGS_A","NGS_A",2040,1.633354862254
"RE1","MINNGS_A","NGS_A",2041,2.05461589771483
"RE1","MINNGS_A","NGS_A",2042,4.98105765563085
"RE1","MINNGS_A","NGS_A",2043,18.1904361019925
"RE1","MINNGS_A","NGS_A",2044,35.1258971139839
