REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S101","MINCOA_A",1,2017,2.8548034783192
"RE1","S101","MINCOA_A",1,2018,2.56696009630976
"RE1","S101","MINCOA_A",1,2024,4.50455853516146
"RE1","S101","MINCOA_A",1,2025,10.0992173179094
"RE1","S101","MINCOA_A",1,2031,4.4964659698086
"RE1","S101","MINCOA_A",1,2032,3.8426674273733
"RE1","S101","MINCOA_A",1,2033,3.14000694632103
"RE1","S101","MINCOA_A",1,2034,2.38523903240644
"RE1","S101","MINCOA_A",1,2035,1.31094178988154
"RE1","S101","MINCOA_A",1,2036,0.3689703330787
"RE1","S101","MINCOA_A",1,2040,6.23957612745432
"RE1","S101","MINCOA_A",1,2041,7.43378548378031
"RE1","S101","MINCOA_A",1,2042,27.6993357329629
"RE1","S101","MINCOA_A",1,2043,27.6993357329629
"RE1","S101","MINCOA_A",1,2044,27.6993357329629
"RE1","S101","MINCOA_A",1,2045,27.6993357329629
"RE1","S101","MINCOA_A",1,2046,27.6993357329629
"RE1","S101","MINCOA_A",1,2047,27.6993357329629
"RE1","S101","MINCOA_A",1,2048,27.6993357329629
"RE1","S101","MINCOA_A",1,2049,27.6993357329629
"RE1","S101","MINCOA_A",1,2050,27.6993357329629
"RE1","S101","MINNGS_A",1,2025,1.56654186965262
"RE1","S101","MINNGS_A",1,2042,5.36421696139913
"RE1","S101","MINNGS_A",1,2043,30.9934274743102
"RE1","S101","MINNGS_A",1,2044,59.4916196184742
"RE1","S101","MINNGS_A",1,2045,87.3769761771214
"RE1","S101","MINNGS_A",1,2046,119.827997666243
"RE1","S101","MINNGS_A",1,2047,150.716971103198
"RE1","S101","MINNGS_A",1,2048,180.962925944047
"RE1","S101","MINNGS_A",1,2049,209.631195637142
"RE1","S101","MINNGS_A",1,2050,258.094261655144
"RE1","S101","PWRCOA_A",1,2017,1.0573346215997
"RE1","S101","PWRCOA_A",1,2018,0.950725961596206
"RE1","S101","PWRCOA_A",1,2024,1.66835501302276
"RE1","S101","PWRCOA_A",1,2025,3.74045085848497
"RE1","S101","PWRCOA_A",1,2031,1.66535776659578
"RE1","S101","PWRCOA_A",1,2032,1.42321015828641
"RE1","S101","PWRCOA_A",1,2033,1.16296553567445
"RE1","S101","PWRCOA_A",1,2034,0.883421863854238
"RE1","S101","PWRCOA_A",1,2035,0.485533996252423
"RE1","S101","PWRCOA_A",1,2036,0.136655678918037
"RE1","S101","PWRCOA_A",1,2040,2.31095412127938
"RE1","S101","PWRCOA_A",1,2041,2.7532538828816
"RE1","S101","PWRCOA_A",1,2042,10.2590132344307
"RE1","S101","PWRCOA_A",1,2043,10.2590132344307
"RE1","S101","PWRCOA_A",1,2044,10.2590132344307
"RE1","S101","PWRCOA_A",1,2045,10.2590132344307
"RE1","S101","PWRCOA_A",1,2046,10.2590132344307
"RE1","S101","PWRCOA_A",1,2047,10.2590132344307
"RE1","S101","PWRCOA_A",1,2048,10.2590132344307
"RE1","S101","PWRCOA_A",1,2049,10.2590132344307
"RE1","S101","PWRCOA_A",1,2050,10.2590132344307
"RE1","S101","PWRNGS001_A",1,2025,0.753145129640684
"RE1","S101","PWRNGS001_A",1,2042,2.57895046221112
"RE1","S101","PWRNGS001_A",1,2043,14.900686285726
"RE1","S101","PWRNGS001_A",1,2044,28.6017402011895
"RE1","S101","PWRNGS001_A",1,2045,42.0081616236161
"RE1","S101","PWRNGS001_A",1,2046,57.6096142626167
"RE1","S101","PWRNGS001_A",1,2047,72.460082261153
"RE1","S101","PWRNGS001_A",1,2048,87.0014067038688
"RE1","S101","PWRNGS001_A",1,2049,100.784228671703
"RE1","S101","PWRNGS001_A",1,2050,100.784228671703
"RE1","S101","PWRNGS002_A",1,2050,14.5534732786792
"RE1","S101","PWRTRN_A",1,2015,29.8606424096738
"RE1","S101","PWRTRN_A",1,2016,30.6721648437401
"RE1","S101","PWRTRN_A",1,2017,33.0389170569822
"RE1","S101","PWRTRN_A",1,2018,35.3945001168046
"RE1","S101","PWRTRN_A",1,2019,37.7389345686969
"RE1","S101","PWRTRN_A",1,2020,40.0721999853256
"RE1","S101","PWRTRN_A",1,2021,42.142866263252
"RE1","S101","PWRTRN_A",1,2022,44.8863679790874
"RE1","S101","PWRTRN_A",1,2023,46.7211730072201
"RE1","S101","PWRTRN_A",1,2024,49.2443826105066
"RE1","S101","PWRTRN_A",1,2025,51.9350883010808
"RE1","S101","PWRTRN_A",1,2026,55.4244258361621
"RE1","S101","PWRTRN_A",1,2027,59.14503691707
"RE1","S101","PWRTRN_A",1,2028,63.1115778364486
"RE1","S101","PWRTRN_A",1,2029,67.3395098115924
"RE1","S101","PWRTRN_A",1,2030,71.8453465041139
"RE1","S101","PWRTRN_A",1,2031,76.8203306573476
"RE1","S101","PWRTRN_A",1,2032,82.1707290592351
"RE1","S101","PWRTRN_A",1,2033,87.9209919779751
"RE1","S101","PWRTRN_A",1,2034,94.0976791045054
"RE1","S101","PWRTRN_A",1,2035,102.889253077961
"RE1","S101","PWRTRN_A",1,2036,110.597931286892
"RE1","S101","PWRTRN_A",1,2037,118.86802688525
"RE1","S101","PWRTRN_A",1,2038,127.74083927494
"RE1","S101","PWRTRN_A",1,2039,137.260775725113
"RE1","S101","PWRTRN_A",1,2040,147.47550658915
"RE1","S101","PWRTRN_A",1,2041,155.793182365114
"RE1","S101","PWRTRN_A",1,2042,164.577921465767
"RE1","S101","PWRTRN_A",1,2043,173.855792847384
"RE1","S101","PWRTRN_A",1,2044,183.654527875365
"RE1","S101","PWRTRN_A",1,2045,194.003112879667
"RE1","S101","PWRTRN_A",1,2046,205.152483005977
"RE1","S101","PWRTRN_A",1,2047,216.92540118875
"RE1","S101","PWRTRN_A",1,2048,229.35671937232
"RE1","S101","PWRTRN_A",1,2049,242.483216484543
"RE1","S101","PWRTRN_A",1,2050,256.343667226142
"RE1","S101","PWRDIST_A",1,2015,25.5219165894648
"RE1","S101","PWRDIST_A",1,2016,26.2754124950016
"RE1","S101","PWRDIST_A",1,2017,28.3677021014822
"RE1","S101","PWRDIST_A",1,2018,30.4599828888163
"RE1","S101","PWRDIST_A",1,2019,32.552272495297
"RE1","S101","PWRDIST_A",1,2020,34.6445532914502
"RE1","S101","PWRDIST_A",1,2021,36.5189482350538
"RE1","S101","PWRDIST_A",1,2022,38.5263800045149
"RE1","S101","PWRDIST_A",1,2023,40.674265519729
"RE1","S101","PWRDIST_A",1,2024,42.9706654541942
"RE1","S101","PWRDIST_A",1,2025,45.4242754952381
"RE1","S101","PWRDIST_A",1,2026,48.5895024722083
"RE1","S101","PWRDIST_A",1,2027,51.9727916670211
"RE1","S101","PWRDIST_A",1,2028,55.5885888329226
"RE1","S101","PWRDIST_A",1,2029,59.4521863965053
"RE1","S101","PWRDIST_A",1,2030,63.5799526585079
"RE1","S101","PWRDIST_A",1,2031,68.1333309599535
"RE1","S101","PWRDIST_A",1,2032,73.0406480526534
"RE1","S101","PWRDIST_A",1,2033,78.3260507598887
"RE1","S101","PWRDIST_A",1,2034,84.0157849147369
"RE1","S101","PWRDIST_A",1,2035,92.0709199802784
"RE1","S101","PWRDIST_A",1,2036,99.1909697640288
"RE1","S101","PWRDIST_A",1,2037,106.847664615955
"RE1","S101","PWRDIST_A",1,2038,115.08183718463
