REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","S101","PWRCOA_A","COA_A",2017,2.8548034783192
"RE1","S101","PWRCOA_A","COA_A",2018,2.56696009630976
"RE1","S101","PWRCOA_A","COA_A",2024,4.50455853516146
"RE1","S101","PWRCOA_A","COA_A",2025,10.0992173179094
"RE1","S101","PWRCOA_A","COA_A",2031,4.4964659698086
"RE1","S101","PWRCOA_A","COA_A",2032,3.8426674273733
"RE1","S101","PWRCOA_A","COA_A",2033,3.14000694632103
"RE1","S101","PWRCOA_A","COA_A",2034,2.38523903240644
"RE1","S101","PWRCOA_A","COA_A",2035,1.31094178988154
"RE1","S101","PWRCOA_A","COA_A",2036,0.3689703330787
"RE1","S101","PWRCOA_A","COA_A",2040,6.23957612745432
"RE1","S101","PWRCOA_A","COA_A",2041,7.43378548378031
"RE1","S101","PWRCOA_A","COA_A",2042,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2043,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2044,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2045,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2046,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2047,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2048,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2049,27.6993357329629
"RE1","S101","PWRCOA_A","COA_A",2050,27.6993357329629
"RE1","S101","PWRNGS001_A","NGS_A",2025,1.56654186965262
"RE1","S101","PWRNGS001_A","NGS_A",2042,5.36421696139913
"RE1","S101","PWRNGS001_A","NGS_A",2043,30.9934274743102
"RE1","S101","PWRNGS001_A","NGS_A",2044,59.4916196184742
"RE1","S101","PWRNGS001_A","NGS_A",2045,87.3769761771214
"RE1","S101","PWRNGS001_A","NGS_A",2046,119.827997666243
"RE1","S101","PWRNGS001_A","NGS_A",2047,150.716971103198
"RE1","S101","PWRNGS001_A","NGS_A",2048,180.962925944047
