REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","S101","PWRCOA_A","COA_A",2017,0.3568504347899
"RE1","S101","PWRCOA_A","COA_A",2018,0.32087001203872
"RE1","S101","PWRCOA_A","COA_A",2024,0.563069816895182
"RE1","S101","PWRCOA_A","COA_A",2025,1.26240216473868
"RE1","S101","PWRCOA_A","COA_A",2031,0.562058246226075
"RE1","S101","PWRCOA_A","COA_A",2032,0.480333428421663
"RE1","S101","PWRCOA_A","COA_A",2033,0.392500868290129
"RE1","S101","PWRCOA_A","COA_A",2034,0.298154879050805
"RE1","S101","PWRCOA_A","COA_A",2035,0.163867723735193
"RE1","S101","PWRCOA_A","COA_A",2036,0.0461212916348376
"RE1","S101","PWRCOA_A","COA_A",2040,0.77994701593179
"RE1","S101","PWRCOA_A","COA_A",2041,0.929223185472538
"RE1","S101","PWRCOA_A","COA_A",2042,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2043,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2044,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2045,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2046,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2047,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2048,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2049,3.46241696662037
"RE1","S101","PWRCOA_A","COA_A",2050,3.46241696662037
"RE1","S101","PWRNGS001_A","NGS_A",2025,0.195817733706578
"RE1","S101","PWRNGS001_A","NGS_A",2042,0.670527120174891
"RE1","S101","PWRNGS001_A","NGS_A",2043,3.87417843428877
"RE1","S101","PWRNGS001_A","NGS_A",2044,7.43645245230927
"RE1","S101","PWRNGS001_A","NGS_A",2045,10.9221220221402
"RE1","S101","PWRNGS001_A","NGS_A",2046,14.9784997082803
"RE1","S101","PWRNGS001_A","NGS_A",2047,18.8396213878998
"RE1","S101","PWRNGS001_A","NGS_A",2048,22.6203657430059
"RE1","S101","PWRNGS001_A","NGS_A",2049,26.2038994546428
"RE1","S101","PWRNGS001_A","NGS_A",2050,26.2038994546428
"RE1","S101","PWRNGS002_A","NGS_A",2050,6.05788325225023
"RE1","S101","PWRTRN_A","ELC001_A",2015,3.91920931626969
"RE1","S101","PWRTRN_A","ELC001_A",2016,4.02572163574088
"RE1","S101","PWRTRN_A","ELC001_A",2017,4.33635786372892
"RE1","S101","PWRTRN_A","ELC001_A",2018,4.6455281403306
"RE1","S101","PWRTRN_A","ELC001_A",2019,4.95323516214146
"RE1","S101","PWRTRN_A","ELC001_A",2020,5.25947624807398
"RE1","S101","PWRTRN_A","ELC001_A",2021,5.53125119705183
"RE1","S101","PWRTRN_A","ELC001_A",2022,5.89133579725522
"RE1","S101","PWRTRN_A","ELC001_A",2023,6.13215395719764
"RE1","S101","PWRTRN_A","ELC001_A",2024,6.46332521762899
"RE1","S101","PWRTRN_A","ELC001_A",2025,6.81648033951685
"RE1","S101","PWRTRN_A","ELC001_A",2026,7.27445589099628
"RE1","S101","PWRTRN_A","ELC001_A",2027,7.76278609536544
"RE1","S101","PWRTRN_A","ELC001_A",2028,8.28339459103388
"RE1","S101","PWRTRN_A","ELC001_A",2029,8.8383106627715
"RE1","S101","PWRTRN_A","ELC001_A",2030,9.42970172866495
"RE1","S101","PWRTRN_A","ELC001_A",2031,10.0826683987769
"RE1","S101","PWRTRN_A","ELC001_A",2032,10.7849081890246
"RE1","S101","PWRTRN_A","ELC001_A",2033,11.5396301971092
"RE1","S101","PWRTRN_A","ELC001_A",2034,12.3503203824663
"RE1","S101","PWRTRN_A","ELC001_A",2035,13.5042144664824
"RE1","S101","PWRTRN_A","ELC001_A",2036,14.5159784814046
"RE1","S101","PWRTRN_A","ELC001_A",2037,15.6014285286891
"RE1","S101","PWRTRN_A","ELC001_A",2038,16.7659851548358
"RE1","S101","PWRTRN_A","ELC001_A",2039,18.0154768139211
"RE1","S101","PWRTRN_A","ELC001_A",2040,19.3561602398259
"RE1","S101","PWRTRN_A","ELC001_A",2041,20.4478551854212
"RE1","S101","PWRTRN_A","ELC001_A",2042,21.6008521923819
"RE1","S101","PWRTRN_A","ELC001_A",2043,22.8185728112192
"RE1","S101","PWRTRN_A","ELC001_A",2044,24.1046567836417
"RE1","S101","PWRTRN_A","ELC001_A",2045,25.4629085654563
"RE1","S101","PWRTRN_A","ELC001_A",2046,26.9262633945344
"RE1","S101","PWRTRN_A","ELC001_A",2047,28.4714589060234
"RE1","S101","PWRTRN_A","ELC001_A",2048,30.1030694176169
"RE1","S101","PWRTRN_A","ELC001_A",2049,31.8259221635962
"RE1","S101","PWRTRN_A","ELC001_A",2050,33.6451063234311
"RE1","S101","PWRDIST_A","ELC002_A",2015,3.73258030120923
"RE1","S101","PWRDIST_A","ELC002_A",2016,3.83402060546751
"RE1","S101","PWRDIST_A","ELC002_A",2017,4.12986463212278
