REGION,TECHNOLOGY,YEAR,VALUE,EMISSION,MODE_OF_OPERATION,TIMESLICE,FUEL,STORAGE,REGION.1
RE1,MINCOA_A,2016.0,6.16617793556503,,,,,,
RE1,MINCOA_A,2017.0,8.60445232268152,,,,,,
RE1,MINCOA_A,2018.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2019.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2020.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2021.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2022.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2023.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2024.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2025.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2026.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2027.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2028.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2029.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2030.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2031.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2032.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2033.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2034.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2035.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2036.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2037.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2038.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2039.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2040.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2041.0,10.0992173179094,,,,,,
RE1,MINCOA_A,2042.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2043.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2044.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2045.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2046.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2047.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2048.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2049.0,27.6993357329629,,,,,,
RE1,MINCOA_A,2050.0,27.699335732963,,,,,,
RE1,MINOIL_A,2015.0,18.4751340022687,,,,,,
RE1,MINOIL_A,2016.0,16.6658855073866,,,,,,
RE1,MINOIL_A,2017.0,20.6259768,,,,,,
RE1,MINOIL_A,2018.0,20.6259768,,,,,,
RE1,MINOIL_A,2019.0,19.7862082121148,,,,,,
RE1,MINOIL_A,2020.0,20.6259768,,,,,,
RE1,MINNGS_A,2015.0,2.8718577154873,,,,,,
RE1,MINNGS_A,2016.0,2.8718577154873,,,,,,
RE1,MINNGS_A,2017.0,2.8718577154873,,,,,,
RE1,MINNGS_A,2018.0,2.8718577154873,,,,,,
RE1,MINNGS_A,2019.0,2.8718577154873,,,,,,
RE1,MINNGS_A,2020.0,3.77051233233949,,,,,,
RE1,MINNGS_A,2021.0,18.9283716090027,,,,,,
RE1,MINNGS_A,2022.0,18.9283716090027,,,,,,
RE1,MINNGS_A,2023.0,18.9283716090027,,,,,,
RE1,MINNGS_A,2024.0,18.9283716090027,,,,,,
RE1,MINNGS_A,2025.0,18.9283716090027,,,,,,
RE1,MINNGS_A,2026.0,8.68232201069467,,,,,,
RE1,MINNGS_A,2027.0,5.91264852510837,,,,,,
RE1,MINNGS_A,2028.0,1.3381086563455,,,,,,
RE1,MINNGS_A,2029.0,1.8474926189756,,,,,,
RE1,MINNGS_A,2030.0,1.35646673144327,,,,,,
RE1,MINNGS_A,2031.0,3.78333433159056,,,,,,
RE1,MINNGS_A,2032.0,4.75522577248279,,,,,,
RE1,MINNGS_A,2033.0,5.79975197293018,,,,,,
RE1,MINNGS_A,2034.0,6.92173745895058,,,,,,
RE1,MINNGS_A,2035.0,8.5187130213235,,,,,,
RE1,MINNGS_A,2036.0,9.81460328244067,,,,,,
RE1,MINNGS_A,2037.0,9.55417264973376,,,,,,
RE1,MINNGS_A,2038.0,10.7812105237768,,,,,,
RE1,MINNGS_A,2039.0,7.73943446708879,,,,,,
RE1,MINNGS_A,2040.0,10.9094540332145,,,,,,
RE1,MINNGS_A,2041.0,13.5133780382926,,,,,,
RE1,MINNGS_A,2042.0,26.7125855306008,,,,,,
RE1,MINNGS_A,2043.0,55.6666660091619,,,,,,
RE1,MINNGS_A,2044.0,85.5554734599868,,,,,,
RE1,MINNGS_A,2045.0,114.077675318633,,,,,,
RE1,MINNGS_A,2046.0,145.049813635057,,,,,,
RE1,MINNGS_A,2047.0,177.047046725711,,,,,,
RE1,MINNGS_A,2048.0,208.463240599163,,,,,,
RE1,MINNGS_A,2049.0,246.175523610472,,,,,,
RE1,MINNGS_A,2050.0,296.727480006549,,,,,,
RE1,PWRCOA_A,2016.0,0.0856865598765159,,,,,,
RE1,PWRCOA_A,2017.0,0.119569355094278,,,,,,
RE1,PWRCOA_A,2018.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2019.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2020.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2021.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2022.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2023.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2024.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2025.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2026.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2027.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2028.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2029.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2030.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2031.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2032.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2033.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2034.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2035.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2036.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2037.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2038.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2039.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2040.0,0.140340937037474,,,,,,
RE1,PWRCOA_A,2041.0,0.140340937037474,,,,,,
